"YearsCodePro","ConvertedCompYearly","EdLevel","Country"
2,218000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
32,170000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
10,155000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,155000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
20,115500,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
32,250000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,140000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,3e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
37,126000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,155000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,180000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,185000,"Something else","United States of America"
5,66000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,90000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
18,3e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,3e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,243000,"Some college/university study without earning a degree","United States of America"
19,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,55000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
19,230000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,3e+05,"Some college/university study without earning a degree","United States of America"
14,220000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,88000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
7,167000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
3,73000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
26,190000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
31,305000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,165000,"Some college/university study without earning a degree","United States of America"
0.5,94000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,120000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,2e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,230000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,107350,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,86000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,115000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,210000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
26,195000,"Some college/university study without earning a degree","United States of America"
0.5,89000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
6,125000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,2e+05,"Some college/university study without earning a degree","United States of America"
16,185000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
1,65000,"Some college/university study without earning a degree","United States of America"
12,250000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
